School,NCAA Championships (TEAM),NCAA Championships (indiv.),NCAA Championships (TOTAL),Public/Private,Athletic-Related Student Aid Given,Graduation Rate (%GSR),Religious Affiliation,"# of Olympic Athletes (2024, 2022)",Head Coaches Compensation,Undergraduate Population,Conference Membership (NCAA),Athletic Revenue 
Southern Methodist University,4,122,126,Private,"24,937,207",92,Y,0,"7,988,087","6,880",ACC,"71,674,040"
University of South Carolina,6,54,60,Public,"12,534,179",94,N,12,"6,278,896","25,960",SEC,"160,420,147"
Stanford,136,560,696,Private,"28,950,174",97,N,59,"17,421,220","7,761",ACC,"105,531,350"
Syracuse,16,24,40,Private,"21,405,274",94,N,9,"11,554,448","14,601",ACC,"111,195,329"
Texas Christian University,6,30,36,Private,"24,965,583",87,Y,9,"14,160,411","10,326",BIG 12,"149,297,918"
University of Tennessee,17,159,176,Public,"19,281,580",94,N,32,"18,605,724","25,798",SEC,"191,271,254"
University of Texas ,58,418,476,Public ,"14,443,213",89,N,16,"18,134,709","38,444",SEC,"261,353,404"
Texas A&M,14,117,131,Public,"13,643,860",87,N,21,"23,017,504","51,043",SEC,"118,627,020"
Texas Tech,3,40,43,Public,"7,507,389",85,N,16,"10,711,477","29,075",BIG 12,"94,876,549"
University of Central Florida,0,1,1,Public,"10,539,685",92,N,6,"7,201,804","40,519",BIG 12,"88,199,644"
UC Los Angeles,124,279,403,Public,"16,840,737",89,N,40,"15,391,122","31,763",BIG 10,"141,964,728"
UC Berkley,43,280,323,Public,"14,722,330",91,N,59,"11,666,137","30,820",ACC,"134,872,865"
University of Southern California,113,423,536,Private,"22,455,716",93,N,67,"18,644,451","20,057",BIG 10,"212,013,703"
University of Utah,25,118,143,Public,"12,994,286",94,N,47,"12,297,694","21,189",BIG 12,"111,483,459"
Vanderbilt,6,3,9,Private,"19,799,468",97,N,2,"14,184,576","7,078",SEC,"125,133,666"
Virginia Tech,0,23,23,Public ,"14,252,868",92,N,10,"10,480,734","29,504",ACC,"129,705,818"
Wake Forest,10,10,20,Private,"19,562,387",96,N,3,"10,544,681","5,388",ACC,"97,298,475"
University of Washington,9,89,98,Public,"16,372,227",91,N,27,"14,087,178","28,978",BIG 10,"154,849,477"
University of Virginia,34,88,122,Public,"22,200,344",96,N,19,"14,560,800","16,452",ACC,"99,085,935"
West Virginia ,20,39,59,Public,"10,834,601",94,N,8,"11,335,698","17,543",BIG 12,"70,265,355"
University of Wisconsin,32,151,183,Public,"17,805,994",93,N,17,"14,320,550","33,547",BIG 10,"190,554,690"
Washington State,2,86,88,Public,"12,332,463",90,N,7,"6,325,421","19,735",PAC 12,"79,015,052"
Yale,29,110,139,Private ,0,99,N,24,"4,920,867","6,588",IVY,"37,301,816"
